Código IBGE;Municipio;Número de matriculas no Ensino Médio - Total (Número) : 2000;Número de matriculas no Ensino Médio - Total (Número) : 2001;Número de matriculas no Ensino Médio - Total (Número) : 2002;Número de matriculas no Ensino Médio - Total (Número) : 2003;Número de matriculas no Ensino Médio - Total (Número) : 2004;Número de matriculas no Ensino Médio - Total (Número) : 2005;Número de matriculas no Ensino Médio - Total (Número) : 2006;Número de matriculas no Ensino Médio - Total (Número) : 2007;Número de matriculas no Ensino Médio - Total (Número) : 2008;Número de matriculas no Ensino Médio - Total (Número) : 2009;Número de matriculas no Ensino Médio - Total (Número) : 2010;Número de matriculas no Ensino Médio - Total (Número) : 2011;Número de matriculas no Ensino Médio - Total (Número) : 2012;Número de matriculas no Ensino Médio - Total (Número) : 2013;Número de matriculas no Ensino Médio - Total (Número) : 2014;Número de matriculas no Ensino Médio - Total (Número) : 2015;Número de matriculas no Ensino Médio - Total (Número) : 2016;Número de matriculas no Ensino Médio - Total (Número) : 2017;Número de matriculas no Ensino Médio - Total (Número) : 2018
;;Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual);Carga Efetiva (Anual)
33;Estado RJ;675.369;707.486;746.234;763.817;770.658;759.825;731.754;642.769;656.228;635.418;623.549;609.680;603.057;596.879;599.352;583.177;591.882;573.300;572.899
330010;Angra dos Reis;6.526;6.926;7.124;7.309;7.255;7.500;7.169;7.267;7.202;7.401;7.158;7.324;6.959;6.546;6.437;6.402;6.920;6.447;6.436
330015;Aperibé;423;424;507;552;501;570;549;526;447;369;368;330;343;303;313;318;347;297;248
330020;Araruama;3.451;3.501;3.975;4.397;4.586;4.442;4.627;4.493;4.580;4.365;4.243;4.428;4.405;4.188;4.074;4.080;4.262;4.362;4.314
330022;Areal;456;470;527;497;493;498;397;276;276;271;246;233;235;302;274;284;289;324;310
330023;Armação dos Búzios;675;763;1.057;1.198;1.392;1.373;1.229;1.151;1.060;1.017;1.054;1.084;1.129;1.208;1.373;1.629;1.750;1.597;1.462
330025;Arraial do Cabo;1.023;1.125;1.259;1.402;1.297;1.226;1.122;980;955;1.021;966;951;1.009;969;1.006;1.094;1.126;1.090;1.216
330030;Barra do Piraí;4.186;4.205;4.336;4.504;4.310;4.245;3.985;3.332;3.092;2.747;2.547;2.528;2.564;2.454;2.545;2.584;2.637;2.559;2.449
330040;Barra Mansa;7.017;6.979;7.423;7.470;7.651;7.731;7.548;7.132;6.883;6.509;6.057;5.995;5.679;5.440;5.470;5.213;5.336;4.967;4.890
330045;Belford Roxo;13.688;16.220;17.620;18.675;18.874;19.307;19.921;19.262;17.989;17.423;17.562;16.980;18.777;15.852;15.574;14.682;14.555;13.494;13.010
330050;Bom Jardim;599;618;738;797;844;855;905;866;785;721;819;748;763;751;795;867;865;816;836
330060;Bom Jesus do Itabapoana;2.325;2.487;2.578;2.717;2.577;2.423;2.255;2.242;2.098;2.027;1.944;1.967;2.037;1.958;2.016;2.045;2.067;2.012;1.883
330070;Cabo Frio;5.130;5.843;6.650;7.347;7.324;7.277;7.456;6.933;6.459;6.191;6.046;6.454;6.311;6.269;6.269;6.440;6.674;6.443;6.372
330080;Cachoeiras de Macacu;1.913;2.101;2.101;2.380;2.584;2.439;2.487;2.385;2.046;1.894;2.028;2.107;2.029;2.106;2.099;2.156;2.147;1.972;1.882
330090;Cambuci;570;513;589;713;643;603;574;552;523;505;551;519;528;443;525;534;524;540;540
330100;Campos dos Goytacazes;21.953;22.918;23.845;24.082;24.003;21.606;19.637;16.571;16.572;15.935;15.713;15.570;15.612;15.354;15.657;15.571;16.106;15.754;15.930
330110;Cantagalo;761;869;1.013;1.023;913;826;746;596;565;603;720;661;619;614;672;656;618;572;541
330093;Carapebus;522;561;617;616;713;550;524;521;520;520;552;552;520;479;434;401;437;379;373
330115;Cardoso Moreira;353;376;443;617;549;448;438;454;450;418;402;358;360;331;319;339;347;345;350
330120;Carmo;467;457;483;514;574;591;606;556;595;513;603;510;550;572;578;612;632;599;602
330130;Casimiro de Abreu;1.480;1.920;1.783;2.041;2.120;2.153;2.126;1.982;1.979;2.036;2.153;2.085;2.097;1.989;1.918;1.992;1.955;1.958;2.057
330095;Comendador Levy Gasparian;401;374;459;443;501;437;401;306;207;240;272;305;309;319;299;265;231;217;192
330140;Conceição de Macabu;821;946;995;1.209;1.265;1.246;1.114;1.018;942;936;906;900;874;850;865;841;847;818;797
330150;Cordeiro;939;1.079;1.211;1.268;1.344;1.097;996;814;785;804;799;786;800;808;833;852;869;747;692
330160;Duas Barras;187;240;323;353;320;294;304;258;304;253;291;255;243;252;276;297;364;356;356
330170;Duque de Caxias;35.718;38.013;41.833;44.063;45.412;47.212;47.420;42.239;42.768;40.234;39.357;38.181;36.447;36.253;36.352;34.849;34.829;34.835;33.677
330180;Engenheiro Paulo de Frontin;583;679;707;794;790;781;716;727;730;788;769;790;769;760;771;707;804;739;715
330185;Guapimirim;1.175;1.291;1.423;1.577;1.705;1.767;1.726;1.686;1.576;1.513;1.542;1.556;1.540;1.284;1.289;1.293;1.343;1.293;1.351
330187;Iguaba Grande;697;822;1.089;1.228;1.272;1.268;1.290;1.296;1.094;1.109;1.082;1.142;1.115;1.138;1.121;1.219;1.248;1.277;1.285
330190;Itaboraí;5.356;5.825;7.129;8.288;8.065;8.548;8.050;7.636;7.983;8.161;8.087;7.873;7.618;7.276;7.585;7.482;7.693;7.093;6.860
330200;Itaguaí;4.968;5.658;6.472;7.362;6.896;6.209;6.116;5.467;5.729;5.565;5.383;5.593;5.426;5.314;5.675;5.373;5.291;5.204;5.226
330205;Italva;450;527;677;718;700;488;433;435;403;373;407;427;435;420;429;410;419;390;357
330210;Itaocara;1.088;1.209;1.251;1.308;1.340;1.344;1.231;1.028;931;936;901;876;862;830;798;811;831;863;825
330220;Itaperuna;4.403;4.535;4.927;4.755;4.655;4.448;4.074;3.593;3.435;3.283;3.200;3.248;3.356;3.452;3.612;3.668;3.735;3.724;3.727
330225;Itatiaia;1.009;1.134;1.170;1.189;949;880;601;533;452;475;477;538;507;548;535;555;581;519;535
330227;Japeri;3.036;3.603;4.018;4.442;5.111;4.849;4.396;3.923;3.790;3.709;3.608;3.412;3.415;3.336;3.438;3.479;3.311;3.012;3.051
330230;Laje do Muriaé;319;527;491;490;471;487;486;469;426;388;372;349;301;247;258;262;269;250;237
330240;Macaé;7.817;7.988;8.287;8.561;8.980;9.007;8.749;7.955;6.852;6.549;6.714;7.269;7.452;7.600;7.992;8.079;8.293;8.102;8.647
330245;Macuco;389;317;331;348;311;305;301;306;259;231;210;173;184;194;241;246;274;274;261
330250;Magé;8.259;9.515;9.847;11.267;11.450;11.080;10.714;9.964;9.815;9.535;9.670;10.109;10.185;9.745;10.141;9.918;10.207;9.634;9.542
330260;Mangaratiba;1.227;1.091;1.223;1.353;1.499;1.337;1.206;1.359;1.404;1.302;1.124;1.087;1.124;1.104;1.204;1.126;1.270;1.213;1.220
330270;Maricá;3.475;3.771;4.120;4.642;4.469;4.403;3.953;3.787;3.804;3.927;4.040;4.237;4.003;4.099;4.334;4.256;4.577;4.368;4.705
330280;Mendes;969;979;938;1.039;944;859;763;719;580;499;497;528;463;438;422;429;297;290;303
330285;Mesquita;-;5.033;5.492;5.909;6.283;6.391;5.829;5.188;4.808;4.236;4.300;4.215;4.361;4.812;5.288;5.115;5.129;4.867;4.763
330290;Miguel Pereira;1.079;1.067;1.198;1.109;1.109;976;993;1.053;984;996;1.009;1.052;919;895;932;968;990;898;810
330300;Miracema;1.350;1.425;1.494;1.730;1.574;1.593;1.569;1.535;1.405;1.323;1.275;1.194;1.123;1.119;1.093;1.024;1.192;1.174;1.003
999999;Município ignorado;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
330310;Natividade;875;1.079;1.164;1.202;1.016;843;772;720;693;711;660;651;639;582;566;542;629;502;477
330320;Nilópolis;13.205;13.478;13.883;14.673;14.388;14.132;12.906;11.344;9.885;9.340;8.326;8.750;8.947;8.966;9.112;8.861;8.599;8.675;8.994
330330;Niterói;30.975;30.396;30.749;30.516;28.786;27.251;25.375;22.888;21.769;22.028;21.524;20.695;20.359;20.024;20.243;19.792;19.604;19.289;19.082
330340;Nova Friburgo;6.498;6.160;6.848;7.518;7.260;6.727;6.445;6.201;5.881;5.589;5.486;5.525;5.434;5.347;5.666;5.895;5.989;6.071;5.938
330350;Nova Iguaçu;37.695;35.041;34.975;36.241;38.761;38.804;37.992;32.589;33.719;33.337;32.723;34.669;32.289;34.084;33.747;33.878;33.768;32.380;32.049
330360;Paracambi;2.160;2.728;3.042;3.215;2.876;2.961;2.487;2.387;2.362;2.145;2.267;2.148;2.137;2.050;2.112;1.942;2.046;2.042;2.039
330370;Paraíba do Sul;1.463;1.539;1.484;1.695;1.768;1.705;1.663;1.257;1.048;1.007;992;1.263;1.253;1.321;1.450;1.438;1.449;1.321;1.226
330380;Paraty;872;958;1.214;1.403;1.446;1.425;1.441;1.336;1.381;1.374;1.474;1.616;1.452;1.333;1.382;1.444;1.619;1.602;1.635
330385;Paty do Alferes;889;1.013;1.073;1.256;1.262;1.218;1.194;1.095;969;987;1.061;1.122;1.104;1.039;1.107;1.126;988;1.014;977
330390;Petrópolis;12.134;11.807;12.006;12.026;12.807;12.755;12.979;12.124;12.178;12.115;12.260;12.274;11.480;11.355;11.264;11.095;11.044;10.881;10.604
330395;Pinheiral;1.122;1.192;1.238;1.314;1.273;1.252;1.212;1.101;860;867;970;952;967;1.005;982;974;1.028;1.067;1.109
330400;Piraí;1.478;1.540;1.708;1.767;1.716;1.786;1.718;1.677;1.547;1.390;1.272;1.176;1.103;973;950;921;1.002;949;973
330410;Porciúncula;808;954;988;1.006;1.012;1.003;797;691;663;694;699;671;639;613;598;617;579;578;520
330411;Porto Real;476;530;459;438;426;389;411;386;361;338;368;358;367;399;410;445;492;504;467
330412;Quatis;364;363;393;407;339;343;335;336;299;267;263;300;309;353;338;343;345;402;379
330414;Queimados;5.136;6.218;7.123;8.203;8.260;8.073;6.778;5.898;6.108;6.878;6.954;6.273;7.055;6.835;6.774;6.855;6.856;6.770;6.730
330415;Quissamã;490;548;665;698;823;790;805;802;859;835;817;821;835;881;901;919;926;905;881
330420;Resende;5.780;6.134;6.105;5.915;5.801;5.497;5.330;4.928;4.585;4.528;4.586;4.581;4.509;4.463;4.664;4.698;4.829;4.879;4.746
330430;Rio Bonito;2.255;2.388;2.756;2.791;2.680;2.527;2.584;2.398;2.460;2.342;2.318;2.363;2.213;2.075;2.149;2.218;2.291;2.147;1.980
330440;Rio Claro;915;958;922;887;743;701;719;702;753;756;695;642;568;630;607;624;640;633;705
330450;Rio das Flores;316;312;328;352;382;413;408;375;374;348;310;296;278;308;326;335;287;236;262
330452;Rio das Ostras;1.517;1.791;2.106;2.587;2.537;3.039;2.929;2.875;3.019;3.264;3.538;3.873;4.129;4.197;4.535;4.477;4.639;4.591;4.748
330455;Rio de Janeiro;286.287;298.296;310.795;308.561;309.598;307.930;297.910;248.179;272.599;263.500;255.573;241.865;239.708;239.279;235.793;223.720;228.222;220.147;223.541
330460;Santa Maria Madalena;229;301;314;329;320;324;288;323;278;207;184;197;190;192;198;169;199;192;172
330470;Santo Antônio de Pádua;1.749;1.725;1.891;1.997;2.051;1.848;1.614;1.465;1.382;1.363;1.557;1.612;1.660;1.621;1.671;1.732;1.871;1.810;1.796
330480;São Fidélis;1.801;1.504;1.862;1.989;1.776;1.548;1.483;1.357;1.305;1.238;1.276;1.362;1.301;1.192;1.226;1.228;1.239;1.174;1.107
330475;São Francisco de Itabapoana;1.140;1.304;1.401;1.776;1.727;1.744;1.629;1.529;1.316;1.224;1.255;1.259;1.264;1.180;1.125;1.215;1.331;1.277;1.242
330490;São Gonçalo;33.150;33.518;35.990;35.253;35.539;34.952;31.692;28.311;27.016;27.257;26.826;26.399;26.481;25.962;26.828;26.515;26.678;26.154;25.125
330500;São João da Barra;627;671;801;862;968;971;1.214;1.199;1.135;1.112;1.226;1.175;1.170;1.122;1.157;1.211;1.219;1.184;1.266
330510;São João de Meriti;19.367;20.730;23.231;22.563;24.441;23.160;23.112;20.796;20.242;18.763;19.415;18.712;18.732;19.143;19.864;19.740;19.781;18.930;19.082
330513;São José de Ubá;163;165;182;202;231;236;221;228;208;208;226;240;249;255;256;244;196;168;149
330515;São José do Vale do Rio Preto;643;538;499;545;570;622;613;651;595;586;596;610;664;666;687;679;632;555;533
330520;São Pedro da Aldeia;2.240;2.484;2.927;3.287;3.535;3.510;3.624;3.469;3.227;2.966;2.962;2.948;2.778;2.703;2.768;2.635;3.006;2.930;3.106
330530;São Sebastião do Alto;232;282;295;362;360;338;326;344;347;354;453;384;357;293;291;259;220;209;190
330540;Sapucaia;822;814;829;876;800;794;789;817;773;732;722;825;778;761;737;757;718;705;718
330550;Saquarema;1.824;2.208;2.539;2.719;2.840;2.896;2.780;2.831;2.752;2.759;2.792;2.825;2.961;3.005;3.071;3.048;3.048;2.842;2.948
330555;Seropédica;3.704;3.625;3.987;4.727;5.397;5.154;4.975;4.960;4.724;4.379;4.035;3.804;3.894;3.993;4.241;3.896;3.784;3.417;3.391
330560;Silva Jardim;604;636;712;744;753;826;548;556;477;463;465;539;575;604;720;739;772;754;674
330570;Sumidouro;204;226;261;357;346;362;354;317;316;336;304;385;386;370;353;360;350;318;344
330575;Tanguá;788;802;839;930;977;967;785;677;604;635;616;611;662;733;786;857;903;971;919
330580;Teresópolis;5.575;6.135;6.576;6.935;7.157;7.130;7.079;6.871;6.863;6.100;5.876;5.907;5.767;5.354;5.540;5.421;5.593;5.534;5.953
330590;Trajano de Moraes;222;256;297;368;415;380;375;393;426;445;384;402;400;359;360;358;323;361;307
330600;Três Rios;3.911;3.941;4.134;4.250;4.159;3.958;3.718;3.395;3.021;2.643;2.442;2.684;2.738;2.898;3.077;3.023;3.153;3.154;3.013
330610;Valença;3.147;3.041;3.334;3.686;3.783;3.635;3.584;3.310;3.060;2.762;2.625;2.638;2.575;2.584;2.563;2.567;2.510;2.339;2.230
330615;Varre-Sai;295;333;369;430;441;371;325;306;275;295;340;373;346;325;323;340;341;386;404
330620;Vassouras;1.607;1.797;1.749;1.806;1.790;1.797;1.720;1.562;1.513;1.269;1.249;1.336;1.285;1.286;1.303;1.340;1.275;1.269;1.281
330630;Volta Redonda;18.382;18.103;17.418;17.857;17.704;16.769;15.984;13.442;13.459;12.831;12.563;12.090;11.713;10.945;10.400;10.262;10.381;10.398;10.049
;;;;;;;;;;;;;;;;;;;;